"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User đăng nhập thành công bằng tài khoản hợp lệ","607","testLoginValidAccount","AutomationSuite","2025-09-27","passed","2025-09-27","tests.ui.LoginTest","Login Tests","tests.ui.LoginTest","testLoginValidAccount"
"User đăng nhập không thành công với tên đăng nhập bỏ trống","488","testLoginEmptyUsernameAccount","AutomationSuite","2025-09-27","passed","2025-09-27","tests.ui.LoginTest","Login Tests","tests.ui.LoginTest","testLoginEmptyUsernameAccount"
"User đăng nhập không thành công bằng tài khoản sai tên mật khẩu","515","testLoginInvalidPasswordAccount","AutomationSuite","2025-09-27","passed","2025-09-27","tests.ui.LoginTest","Login Tests","tests.ui.LoginTest","testLoginInvalidPasswordAccount"
"User thêm sản phẩm vào giỏ hàng và thanh toán thành công","1979","testAddItemToCartAndCheckout","AutomationSuite","2025-09-27","passed","2025-09-27","tests.ui.CheckoutTest","Checkout Tests","tests.ui.CheckoutTest","testAddItemToCartAndCheckout"
"User đăng nhập không thành công với tài khoản bị khóa","514","testLoginLockedAccount","AutomationSuite","2025-09-27","passed","2025-09-27","tests.ui.LoginTest","Login Tests","tests.ui.LoginTest","testLoginLockedAccount"
"User đăng nhập không thành công bằng tài khoản sai tên đăng nhập","509","testLoginInvalidUsernameAccount","AutomationSuite","2025-09-27","passed","2025-09-27","tests.ui.LoginTest","Login Tests","tests.ui.LoginTest","testLoginInvalidUsernameAccount"
"User đăng nhập không thành công với mật khẩu bỏ trống","2720","testLoginEmptyPasswordAccount","AutomationSuite","2025-09-27","passed","2025-09-27","tests.ui.LoginTest","Login Tests","tests.ui.LoginTest","testLoginEmptyPasswordAccount"
