"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 27 16:39:21 UTC 2025","Sat Sep 27 16:39:22 UTC 2025","648","AutomationSuite","Login Tests","tests.ui.LoginTest","tests.ui.LoginTest","testLoginValidAccount","testLoginValidAccount","User đăng nhập thành công bằng tài khoản hợp lệ"
"passed","Sat Sep 27 16:39:19 UTC 2025","Sat Sep 27 16:39:20 UTC 2025","574","AutomationSuite","Login Tests","tests.ui.LoginTest","tests.ui.LoginTest","testLoginInvalidUsernameAccount","testLoginInvalidUsernameAccount","User đăng nhập không thành công bằng tài khoản sai tên đăng nhập"
"passed","Sat Sep 27 16:39:17 UTC 2025","Sat Sep 27 16:39:18 UTC 2025","739","AutomationSuite","Login Tests","tests.ui.LoginTest","tests.ui.LoginTest","testLoginEmptyUsernameAccount","testLoginEmptyUsernameAccount","User đăng nhập không thành công với tên đăng nhập bỏ trống"
"passed","Sat Sep 27 16:39:12 UTC 2025","Sat Sep 27 16:39:17 UTC 2025","4641","AutomationSuite","Login Tests","tests.ui.LoginTest","tests.ui.LoginTest","testLoginEmptyPasswordAccount","testLoginEmptyPasswordAccount","User đăng nhập không thành công với mật khẩu bỏ trống"
"passed","Sat Sep 27 16:39:16 UTC 2025","Sat Sep 27 16:39:19 UTC 2025","2505","AutomationSuite","Checkout Tests","tests.ui.CheckoutTest","tests.ui.CheckoutTest","testAddItemToCartAndCheckout","testAddItemToCartAndCheckout","User thêm sản phẩm vào giỏ hàng và thanh toán thành công"
"passed","Sat Sep 27 16:39:18 UTC 2025","Sat Sep 27 16:39:19 UTC 2025","578","AutomationSuite","Login Tests","tests.ui.LoginTest","tests.ui.LoginTest","testLoginInvalidPasswordAccount","testLoginInvalidPasswordAccount","User đăng nhập không thành công bằng tài khoản sai tên mật khẩu"
"passed","Sat Sep 27 16:39:20 UTC 2025","Sat Sep 27 16:39:21 UTC 2025","503","AutomationSuite","Login Tests","tests.ui.LoginTest","tests.ui.LoginTest","testLoginLockedAccount","testLoginLockedAccount","User đăng nhập không thành công với tài khoản bị khóa"
