"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 27 14:41:03 UTC 2025","Sat Sep 27 14:41:06 UTC 2025","2930","AutomationSuite","Login Tests","tests.ui.LoginTest","tests.ui.LoginTest","testLoginEmptyPasswordAccount","testLoginEmptyPasswordAccount","User đăng nhập không thành công với mật khẩu bỏ trống"
"passed","Sat Sep 27 14:41:09 UTC 2025","Sat Sep 27 14:41:10 UTC 2025","585","AutomationSuite","Login Tests","tests.ui.LoginTest","tests.ui.LoginTest","testLoginLockedAccount","testLoginLockedAccount","User đăng nhập không thành công với tài khoản bị khóa"
"passed","Sat Sep 27 14:41:06 UTC 2025","Sat Sep 27 14:41:07 UTC 2025","695","AutomationSuite","Login Tests","tests.ui.LoginTest","tests.ui.LoginTest","testLoginEmptyUsernameAccount","testLoginEmptyUsernameAccount","User đăng nhập không thành công với tên đăng nhập bỏ trống"
"passed","Sat Sep 27 14:41:07 UTC 2025","Sat Sep 27 14:41:08 UTC 2025","1066","AutomationSuite","Login Tests","tests.ui.LoginTest","tests.ui.LoginTest","testLoginInvalidPasswordAccount","testLoginInvalidPasswordAccount","User đăng nhập không thành công bằng tài khoản sai tên mật khẩu"
"passed","Sat Sep 27 14:41:06 UTC 2025","Sat Sep 27 14:41:08 UTC 2025","2232","AutomationSuite","Checkout Tests","tests.ui.CheckoutTest","tests.ui.CheckoutTest","testAddItemToCartAndCheckout","testAddItemToCartAndCheckout","User thêm sản phẩm vào giỏ hàng và thanh toán thành công"
"passed","Sat Sep 27 14:41:09 UTC 2025","Sat Sep 27 14:41:09 UTC 2025","585","AutomationSuite","Login Tests","tests.ui.LoginTest","tests.ui.LoginTest","testLoginInvalidUsernameAccount","testLoginInvalidUsernameAccount","User đăng nhập không thành công bằng tài khoản sai tên đăng nhập"
"passed","Sat Sep 27 14:41:10 UTC 2025","Sat Sep 27 14:41:11 UTC 2025","656","AutomationSuite","Login Tests","tests.ui.LoginTest","tests.ui.LoginTest","testLoginValidAccount","testLoginValidAccount","User đăng nhập thành công bằng tài khoản hợp lệ"
